Brand,Processor,RAM(GB),Storage(GB),Screen Size(inch),Condition,Warranty,Predicted Price
HP,Intel Core Ultra 7 155H,32,2048,40.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,104583.32438095236
Lenovo,Core i7 12th Gen,16,512,40.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,69765.15116666666
Lenovo,Core i5 12th Gen,8,512,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,28916.213499999998
HP,Core i7 13th Gen,16,1024,34.2,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,51564.725
HP,Core i7 13th Gen,16,1024,40.8,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,74754.82080952382
HP,AMD RYZEN 3,8,256,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,19576.459642857142
HP,AMD RYZEN 9,16,1024,40.8,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,74754.82080952382
HP,Core i5 12th Gen,16,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,47744.16533333332
Lenovo,Core i9 13th Gen,32,1024,40.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,104583.32438095236
Lenovo,Core i7 12th Gen,16,1024,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,50162.835
HP,Core i7 12th Gen,16,1024,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,49663.68907142857
HP,Core i7 12th Gen,16,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,47744.16533333332
Lenovo,Core i5 13th Gen,16,512,33.7,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,47460.735
HP,AMD RYZEN 7,16,1024,40.8,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,74754.82080952382
HP,Core i7 11th Gen,16,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,47744.16533333332
HP,AMD RYZEN 5,8,1024,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,29234.755
HP,Core i5 10th Gen,8,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,30460.637333333332
Lenovo,Core i7 11th Gen,16,512,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,46039.925
HP,AMD RYZEN 9,32,1024,40.8,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,104453.32438095236
HP,AMD RYZEN 7,16,512,40.8,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,69415.15116666666
HP,Core i7 13th Gen,32,1024,40.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,104583.32438095236
HP,AMD RYZEN 7,16,1024,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,49663.68907142857
HP,Core i7 13th Gen,16,512,43.9,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,75702.16616666666
Lenovo,Core i7 7th Gen,16,1024,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,49663.68907142857
HP,Core i3 8th Gen,8,1024,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,29234.755
HP,AMD RYZEN 3,8,1024,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,29234.755
HP,AMD RYZEN 5,8,512,40.8,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,45278.65633333334
HP,Core i5 11th Gen,8,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,30460.637333333332
HP,Core i7 13th Gen,16,512,40.8,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,69415.15116666666
HP,Core i5 13th Gen,16,512,40.8,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,69415.15116666666
HP,Core i7 13th Gen,16,1024,43.9,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,80712.40414285715
HP,Core i5 12th Gen,16,512,40.8,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,69415.15116666666
HP,Core i9 13th Gen,32,1024,43.9,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,114411.57438095236
HP,Core i7 12th Gen,16,1024,40.8,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,74754.82080952382
Lenovo,Core i7 13th Gen,32,512,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,58421.03833333333
HP,AMD RYZEN 3,4,1024,35.5,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,28982.695
HP,Core i7 11th Gen,16,1024,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,49663.68907142857
HP,Core i5 11th Gen,8,1024,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,29234.755
HP,Core i7 13th Gen,16,512,40.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,69765.15116666666
HP,Core i7 11th Gen,16,512,33.7,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,47460.735
HP,Core i7 9th Gen,8,500,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,32336.300666666662
HP,Core i5 11th Gen,8,512,33.7,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,31155.220166666662
Dell,Core i5 10th Gen,8,512,39.6,Refurbished,1 Year Warranty. Battery & Adapter - 6 Months Warranty.,30460.637333333332
